;Data;AUD;BGN;CAD;CHF;CZK;DKK;EGP;EUR;GBP;100 HUF;100 JPY;MDL;NOK;PLN;RUB;SEK;TRY;USD;ZAR;BRL;CNY;INR;100 KRW;MXN;NZD;RSD;UAH;AED;HRK;THB;XAU;XDR
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;11.11.2021;31.479;25.303;34.369;46.916;0.1957;0.6654;0.2743;49.489;57.794;13.543;37.857;0.2441;0.4969;10.679;0.0607;0.4954;0.434;43.175;0.2811;0.7862;0.6745;0.058;0.3651;0.2096;30.284;0.0421;0.1655;11.755;0.6587;0.1312;2.584.365;60.623
2;10.11.2021;31.489;25.304;34.419;46.863;0.1964;0.6654;0.2723;4.949;57.863;1.368;37.779;0.2434;0.5013;10.753;0.0604;0.4972;0.4362;42.758;0.2831;0.7801;0.6691;0.0575;0.3631;0.2102;30.357;0.0421;0.1641;11.641;0.6585;0.1305;2.509.331;60.322
3;09.11.2021;31.691;25.299;34.328;46.758;0.1964;0.6653;0.2719;49.482;58.026;13.675;37.835;0.2439;0.503;10.777;0.0601;0.499;0.4398;42.688;0.286;0.7699;0.668;0.0576;0.3634;0.2103;30.555;0.0421;0.1635;11.622;0.6584;0.1302;2.505.768;60.287
4;08.11.2021;31.676;25.303;34.361;46.761;0.1959;0.6654;0.2724;49.489;57.713;1.376;37.713;0.245;0.5005;10.765;0.0599;0.497;0.4402;42.772;0.2839;0.7717;0.6687;0.0578;0.3614;0.2097;30.589;0.0421;0.164;11.645;0.6581;0.1296;2.499.328;60.304
5;05.11.2021;31.626;25.301;34.387;46.819;0.1951;0.6653;0.2733;49.485;57.641;13.746;37.684;0.2446;0.4994;10.741;0.0599;0.4991;0.442;42.904;0.281;0.7657;0.6699;0.0577;0.3612;0.2083;30.362;0.0421;0.1643;1.168;0.658;0.1288;2.474.745;60.383
6;04.11.2021;31.822;25.302;34.515;46.904;0.1937;0.6654;0.2726;49.486;58.418;13.734;37.615;0.2437;0.5015;10.742;0.0598;0.4996;0.4415;42.852;0.2806;0.7716;0.6697;0.0575;0.3615;0.2086;30.567;0.0421;0.1638;11.667;0.6578;0.1282;2.451.057;60.408
7;03.11.2021;31.789;25.304;mar.44;46.886;0.1934;0.6653;0.2718;4.949;58.169;1.378;37.501;0.2435;0.5023;10.761;0.0594;0.4992;0.4418;42.704;0.2774;0.7518;0.6677;0.0573;0.3614;0.2059;30.497;0.0421;0.1628;11.626;0.6583;0.1282;2.447.707;6.027
8;02.11.2021;31.832;25.302;34.379;46.767;0.1936;0.6652;0.2714;49.487;58.152;13.741;37.564;0.2447;0.5045;10.734;0.0594;0.4997;0.4476;4.265;0.2758;0.7509;0.6666;0.0571;0.3626;0.2046;30.434;0.0421;0.1622;11.611;0.6571;0.1283;2.458.282;60.232
9;01.11.2021;32.088;25.303;34.565;46.751;0.1932;0.6652;0.2723;49.488;58.372;13.734;37.437;0.2433;0.5071;10.702;0.0604;0.4988;0.4478;42.769;0.279;0.7587;0.6686;0.0571;0.3632;0.2084;30.706;0.0421;0.1627;11.644;0.6575;0.1282;2.456.884;60.325
10;29.10.2021;32.009;25.303;34.414;46.615;0.1928;0.6653;0.2703;49.489;58.529;13.708;37.346;0.2434;0.5076;10.719;0.0602;0.4973;0.4417;42.471;0.2773;0.7522;0.664;0.0567;0.3628;0.2075;30.482;0.0421;0.1617;11.562;0.6581;0.1281;2.454.817;60.108
